CLR_IDX
#CD5C5C
#FFA07A
#FFA07A
#FF8C00
#FF8C00
#FFA500
#EE82EE
#EE82EE
#E6E6FA
#D8BFD8
#DDA0DD
#FFF8DC
#FFF8DC
#DAA520
#B22222
#DC143C
#DC143C
#8B0000
#DB7093
#FFD700
#FFDAB9
#4682B4
#B0C4DE
#B0E0E6
#B0E0E6
#ADD8E6
#ADD8E6
#008080
#008B8B
#8FBC8B
#66CDAA
#808000
#6B8E23
#ADFF2F
#ADFF2F
#98FB98
#90EE90
#00FA9A
#00FF7F
#3CB371
#3CB371
#2E8B57
#228B22
#9ACD32
#6B8E23
#808000
#808000
#556B2F
#556B2F
#556B2F
#556B2F
#66CDAA
#8FBC8B
#20B2AA
#008B8B
#008080
#1dddf2
#1dddf2
#1dddf2
#1dddf2
#1dddf2
#1dddf2
#1dddf2
#1dddf2
#1dddf2
#D8BFD8
#DA70D6
#FF00FF
#FFFFE0
#ffc0cb
#FFFACD
#FAFAD2
#FAFAD2
#F08080
#FFA07A
#FFA07A
#DC143C
#FF69B4
#FF69B4
#FF69B4
#FF1493
#DB7093
#FFA500
#00FFFF
#E0FFFF
#E0FFFF
#fcf75e
#fcf75e
#fcf75e
#fcf75e
#fcf75e
#fcf75e
#7FFFD4
#ffa500
#ffa501
#ffa502
#ffa503
#ffa504
#ffa505
#40E0D0
#00CED1
#48D1CC
#5F9EA0
#5F9EA0
#cd853f
#cd853f
#cd853f
#cd853f
#cd853f
#ADD8E6
#87CEEB
#87CEEB
#87CEFA
#00BFFF
#00BFFF
#1E90FF
#6495ED
#6495ED
#6495ED
#7B68EE
#7B68EE
#4169E1
#000080
#000080
#32cd32
#32cd33
#32cd34
#32cd35
#32cd36
#191970
#F5DEB3
#F5DEB3
#F5DEB3
#F5DEB3
#F5DEB3
#DEB887
#D2B48C
#BC8F8F
#F4A460
#A0522D
#A0522D
#800000
#b2ec5d
#b2ec5d
#b2ec5d
#b2ec5d
#b2ec5d
#FFF5EE
#F5F5DC
#FDF5E6
#FAEBD7
#FFF0F5
#FFE4E1
#FAF0E6
#F0FFFF
#F0FFFF
#F5FFFA
#F0F8FF
#8B0000
#B22222
#FF6347
#FF6347
#FF8C00
#FF4500
#FF7F50
#FFA07A
#FFEFD5
#FFE4B5
#6A5ACD
#6A5ACD
#663399
#BDB76B
#F0E68C
#EEE8AA
#FFEFD5
#FFE4B5
