color_index
teal
aqua
blue
navy
tan
brown
maroon
cadetblue
yellowgreen
darkgreen
darkseagreen
lime
indigo
purple
violet
thistle
darkkhaki
khaki
peachpuff
yellow 
orange
tomato
pink
crimson
darkred
darkorange
lightsalmon
coral
orangered
papayawhip
moccasin
lavender
plum
orchid
fuchsia
rebeccapurple
darkorchid
darkmagenta
slateblue
greenyellow
lawngreen
palegreen
seagreen
wheat
rosybrown
sandybrown
goldenrod
peru
chocolate
mistyrose
turquoise
lightyellow
lemonchiffon
palegoldenrod
mediumvioletred
palevioletred
red
firebrick
darkred
lightcoral
indianred
salmon
darksalmon
hotpink
deeppink
chartreuse
limegreen
palegreen
lightgreen
springgreen
forestgreen
olivedrab
darkolivegreen
mediumaquamarine
darkcyan
powderblue
lightblue
skyblue
lightskyblue
deepskyblue
dodgerblue
cornflowerblue
royalblue
midnightblue
navajowhite
burlywood
darkslateblue
mediumslateblue
iris
buff
camel
cinnamon
mahogany
ochre
puce
