SYMBOLS,NM_LEMBAR,IDX_FORMATION,NO_LEMBAR,PROJECT,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1,Shape_Leng,Shape_Area,WKT
Ct,MUARA BUNGO,1,914,SUMAROX,Formasi Terantam,Terantam Formation,Metamorphic: quartzite,Metamorphism: regional: mid-grade,Metamorphism: regional: mid-grade,CARBONACEOUS,0.846261412725,0.00743229083034,"POLYGON Z ((102.7496544000506 -1.9639228998119638 0, 102.74600520012001 -1.956644399699213 0, 102.74077412506342 -1.9503637498495916 0, 102.73436750016012 -1.9530464997960504 0, 102.73010257154078 -1.9560145711440367 0, 102.72492625004651 -1.9531379997438467 0, 102.71938642868362 -1.951953285458595 0, 102.7138980000428 -1.951759999824075 0, 102.71021825009726 -1.9517877498672274 0, 102.70331950015111 -1.9521124997795223 0, 102.69870857151487 -1.9552595712079555 0, 102.70176666664844 -1.9579896664398841 0, 102.70775057146035 -1.9597158569940252 0, 102.71679300016564 -1.9612361248034436 0, 102.72288399992176 -1.962570166629872 0, 102.7183656000325 -1.967514400049529 0, 102.71418025001864 -1.9726037498880675 0, 102.71691899996192 -1.9763899997985543 0, 102.72213925012642 -1.9793957501386448 0, 102.72817966655843 -1.9827093331690957 0, 102.73465419989145 -1.9848613999735907 0, 102.73300574986555 -1.9793264998679714 0, 102.72822800002224 -1.9740810000380957 0, 102.72502725020753 -1.9680200000728885 0, 102.72288399992176 -1.962570166629872 0, 102.7273583334204 -1.9594199997831172 0, 102.73010257154078 -1.9560145711440367 0, 102.73383525012177 -1.9598317499601823 0, 102.73684500019662 -1.9647537497481924 0, 102.73894875019722 -1.9700824998574493 0, 102.73995466667463 -1.9748196664443594 0, 102.74258666686629 -1.9795286664897258 0, 102.74777400012007 -1.9754697775581018 0, 102.74993883346049 -1.9810573331293089 0, 102.74981060005916 -1.9868647998205855 0, 102.74964933345004 -1.9910899997536244 0, 102.74912101227353 -1.9954103088500528 0, 102.7441266668373 -1.9928333331417623 0, 102.73874146181832 -1.9957291536236585 0, 102.73331966661938 -1.9951266664124265 0, 102.72841425014263 -1.9945294998239813 0, 102.72325125014514 -1.9935962498419766 0, 102.71952157160615 -1.9895822854226406 0, 102.71352557153371 -1.985270952107042 0, 102.70761866671812 -1.9828569997507248 0, 102.70207060014813 -1.982988399754758 0, 102.69608033354059 -1.9810749998612973 0, 102.69180800013913 -1.976596666552842 0, 102.68796550025775 -1.9719569997406747 0, 102.68415066681989 -1.967241333170909 0, 102.68163300006294 -1.9634589997329908 0, 102.67975650031234 -1.959285499725981 0, 102.67722325006552 -1.9541047498092698 0, 102.67047975014047 -1.949198624797864 0, 102.66076766686936 -1.9473449997718593 0, 102.65629550028723 -1.9505114998057724 0, 102.65208742867055 -1.9565234284348296 0, 102.64828733349371 -1.9643249997988708 0, 102.64179800015263 -1.9635132497616379 0, 102.63912212512983 -1.960552124849345 0, 102.64523833348241 -1.9572699998605767 0, 102.64649200010581 -1.9508714997698338 0, 102.64607200007283 -1.9470640000035164 0, 102.6444650001597 -1.94270933306918 0, 102.6413040000796 -1.9367766665099193 0, 102.64114633333665 -1.9312263332285848 0, 102.64629750012959 -1.9335404998191184 0, 102.6518290000334 -1.9359909997348144 0, 102.6561740000801 -1.9374709996368242 0, 102.66068250002245 -1.937942499796451 0, 102.66803400021905 -1.939597999697794 0, 102.67208133343686 -1.9367939998931814 0, 102.6753385000468 -1.9329219998503664 0, 102.6720995001918 -1.92785099982372 0, 102.6675340003189 -1.9239969999365822 0, 102.66185000012749 -1.92180349995653 0, 102.65588750013313 -1.920680999903178 0, 102.6514970002365 -1.9197459997280273 0, 102.64721300030482 -1.9198394997680932 0, 102.64284100013714 -1.9232324997550219 0, 102.64205899982304 -1.9276199999629693 0, 102.64114633333665 -1.9312263332285848 0, 102.63861333343864 -1.926792333199577 0, 102.63430028586534 -1.9232497140958191 0, 102.63153333339667 -1.9290603330178389 0, 102.63143500002536 -1.9372209997992815 0, 102.63415266686218 -1.9431533331597404 0, 102.63743599999653 -1.9484819997444323 0, 102.63931800007569 -1.9542876664425766 0, 102.63912212512983 -1.960552124849345 0, 102.63433799989883 -1.9590609997153106 0, 102.6314060000369 -1.9558543331108833 0, 102.62966900019926 -1.9513219998603102 0, 102.62870000025488 -1.9472129996801133 0, 102.62762699993615 -1.9426329998130196 0, 102.62616766690431 -1.9367496664638981 0, 102.6256026669296 -1.9307729998240806 0, 102.6251908573223 -1.9248957140088105 0, 102.6207465001759 -1.9217339998990877 0, 102.61590374999565 -1.919529249737538 0, 102.61134600015785 -1.9154891997467214 0, 102.61371600016831 -1.911422499673586 0, 102.61725116678305 -1.9046366665238832 0, 102.62250325013748 -1.8972279997972894 0, 102.62751000008652 -1.8913959998254501 0, 102.63361750017255 -1.8872034999914842 0, 102.6404291667977 -1.8851473331577981 0, 102.64850600035167 -1.8859469998290788 0, 102.65516475007821 -1.8884007497821695 0, 102.66204799981543 -1.8904529996561212 0, 102.66698100022305 -1.8911909997398322 0, 102.67183700022747 -1.892215999568668 0, 102.67599850013072 -1.8942129997051236 0, 102.68041999988318 -1.8963839997716878 0, 102.6846275001091 -1.8983234999545449 0, 102.68999460012081 -1.900611999773881 0, 102.69467200016275 -1.9042459999028747 0, 102.69834900020632 -1.9073314996488886 0, 102.70437071435843 -1.911666571212388 0, 102.71162975010044 -1.9149517497608723 0, 102.71870433348826 -1.9169029997735496 0, 102.7234005000581 -1.9189244998407116 0, 102.72813025019845 -1.9196767496822407 0, 102.73486300015244 -1.9204854998059115 0, 102.73934200023322 -1.9245614996633673 0, 102.74146300001748 -1.9282159995687262 0, 102.74277733355717 -1.931914999727434 0, 102.74510700018797 -1.9351963331442388 0, 102.74917160017931 -1.9395491997856826 0, 102.75658833343495 -1.9375309998057464 0, 102.758242333417 -1.9439988331046418 0, 102.75842875009936 -1.9492734998220893 0, 102.75799560015686 -1.953961199799524 0, 102.75526933346305 -1.9590516664012778 0, 102.7496544000506 -1.9639228998119638 0))"
d,PAINAN,2,814,SUMAROX,"Diabas, Basal","Diabas, Basalt",Intrusive: mafic,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,0.129827792467,0.000692686118341,"POLYGON Z ((101.21360608171865 -0.9816564689931848 0, 101.2182146364873 -0.9854101816027292 0, 101.22376933343807 -0.9860167776521198 0, 101.22875750012861 -0.9853160997831498 0, 101.23351071441948 -0.9863849998249616 0, 101.23961178060802 -0.9870416339446617 0, 101.24304833353885 -0.9902008331269183 0, 101.24466122248748 -0.995122999776564 0, 101.24564136849655 -1.0002244734648489 0, 101.24019711125774 -1.0033937775007704 0, 101.23478825015269 -1.0058485830580874 0, 101.22874328588114 -1.0024491425709368 0, 101.22412300006391 -1.0019674998252501 0, 101.21756068304747 -1.0024594875006496 0, 101.21120877793784 -0.9969691108857024 0, 101.20530975010745 -0.9932612498255597 0, 101.20036000016393 -0.9884155831251338 0, 101.19607533360984 -0.9843893330511708 0, 101.1930036335709 -0.9795879496540802 0, 101.19726800018245 -0.9804885711905396 0, 101.20130320013263 -0.9815293997619587 0, 101.2064647501419 -0.9825253748148786 0, 101.21360608171865 -0.9816564689931848 0))"
d,SOLOK,2,815,SUMAROX,"Diabas, Basal","Diabas, Basalt",Intrusive: mafic,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,0.442200478526,0.00119102524373,"POLYGON Z ((101.10743468771693 -0.7084198122369809 0, 101.1076333001468 -0.7127775995865324 0, 101.11039950018686 -0.717402249714004 0, 101.11279966697111 -0.7213526662924838 0, 101.1155573335042 -0.7250026662899298 0, 101.1197143638723 -0.7287727267889164 0, 101.12506328602764 -0.7318794280931282 0, 101.13155571452468 -0.7341107854200377 0, 101.135939844828 -0.7378647773775047 0, 101.14092625027132 -0.7437503745550398 0, 101.14484620029198 -0.7488175328428479 0, 101.14950716717209 -0.7534839997367246 0, 101.15366281848439 -0.7564957270597237 0, 101.15719620012456 -0.7594595993609996 0, 101.16136170030232 -0.762149099551289 0, 101.16696275024333 -0.7662463744829804 0, 101.17254211142928 -0.7704395554410812 0, 101.17716801431065 -0.7754698854521944 0, 101.17030216693645 -0.7753491662059506 0, 101.16576488903844 -0.7720334440881036 0, 101.16016266692361 -0.7706424997515047 0, 101.15504046184023 -0.7672101534564977 0, 101.14828244477907 -0.7627659995511724 0, 101.14344900037116 -0.7589369996713433 0, 101.1401403335596 -0.7552119995341098 0, 101.13504341694524 -0.750169916308506 0, 101.1289965836255 -0.7446464995861977 0, 101.12325862531043 -0.7409497495687187 0, 101.11933500013517 -0.7381909997148259 0, 101.11638650041168 -0.7353083745442621 0, 101.11204327305144 -0.7306414541487936 0, 101.10891477789473 -0.724545110768192 0, 101.10684360033203 -0.720604999561024 0, 101.10338220024839 -0.7161119997489127 0, 101.09769950035668 -0.7103210828016113 0, 101.09306380027421 -0.7037181329054274 0, 101.08961988904673 -0.6968208885730451 0, 101.08771524716482 -0.6903152051183401 0, 101.09498109106816 -0.6955919996164948 0, 101.09967372028208 -0.6998414395347528 0, 101.10371760024711 -0.7046600662690015 0, 101.10743468771693 -0.7084198122369809 0))"
Danau,BANGKO,0,913,,,,,,,,0.091790896052,0.000114378749849,"MULTIPOLYGON Z (((102.90496450001167 -2.6864089995256233 0, 102.90337550025421 -2.6913049995759817 0, 102.89923450017218 -2.690333999764226 0, 102.89997400010004 -2.686316799500675 0, 102.90496450001167 -2.6864089995256233 0)), ((102.88249600034021 -2.639983499438868 0, 102.88170500015717 -2.644761428140173 0, 102.87780971467527 -2.6398609994426767 0, 102.88249600034021 -2.639983499438868 0)))"
Danau,SUNGAIPENUH,0,813,,,,,,,,0.246184928434,0.00339892035491,"POLYGON Z ((101.51830989673616 -2.121530861821862 0, 101.52126965733748 -2.1252636568093717 0, 101.51819150011272 -2.1294498998179687 0, 101.51767810013428 -2.1347392997538837 0, 101.51777542886443 -2.139775142615795 0, 101.51944730779705 -2.145715384426593 0, 101.52394437510794 -2.152789687250488 0, 101.52537480646025 -2.1603468707921056 0, 101.52411458334639 -2.166914333279811 0, 101.51804299992307 -2.1707330771543507 0, 101.5118112223101 -2.1722364443563666 0, 101.5067792808362 -2.175512166828929 0, 101.50160005762083 -2.1758767252686315 0, 101.49543222590046 -2.176800257931953 0, 101.48924533340542 -2.1772509998337117 0, 101.48542914295493 -2.1768167143484494 0, 101.48031520005654 -2.176707600105564 0, 101.47464164876341 -2.1768160538502155 0, 101.47096809103189 -2.171552817912735 0, 101.46744537509151 -2.1678061248152733 0, 101.46346160004283 -2.164328199936426 0, 101.46015433340582 -2.1603673331858406 0, 101.45467175014494 -2.1581878748017633 0, 101.4486828570975 -2.1570644216308263 0, 101.44588675022337 -2.1539422498973213 0, 101.44380190008266 -2.150223399835026 0, 101.44186633356449 -2.146765666452298 0, 101.44060351740396 -2.1437343444506194 0, 101.44282522230624 -2.1400256665512583 0, 101.44813300007296 -2.1364447998475686 0, 101.45500816679352 -2.134925749860882 0, 101.46091750021753 -2.1359303747994094 0, 101.46503746166348 -2.1326512306351173 0, 101.46787688905724 -2.127745333130525 0, 101.4729495715941 -2.127424142702848 0, 101.47733379514932 -2.1241708458616824 0, 101.48350203736756 -2.1205141818605764 0, 101.49088025014848 -2.120585416408792 0, 101.4989145456063 -2.1215131816607045 0, 101.50562466679503 -2.1195622220188657 0, 101.51268307698558 -2.1205925382265054 0, 101.51830989673616 -2.121530861821862 0))"
g,SOLOK,3,815,SUMAROX,Granit,Granite,Intrusive: felsic: granitoid,Plutonism: sub-volcanic,Plutonism: sub-volcanic,TRIASSIC,3.92186359078,0.0547859491197,"MULTIPOLYGON Z (((101.66884412534365 -0.9930746247065567 0, 101.6641363333252 -0.9946841106830515 0, 101.65968500020017 -0.9901811245966439 0, 101.65718950019532 -0.9859938329989202 0, 101.6557710837686 -0.9810439163436033 0, 101.66171650028637 -0.9818658997214111 0, 101.66721350035289 -0.9874127497485272 0, 101.66884412534365 -0.9930746247065567 0)), ((101.6435838002822 -0.9714427995654571 0, 101.63838962533099 -0.9723969995467971 0, 101.6325770002142 -0.9723738566823723 0, 101.62694750020201 -0.9710114995060568 0, 101.62692633368343 -0.9656481663797276 0, 101.62864755584005 -0.960674221737877 0, 101.63276300031228 -0.9597757496010981 0, 101.63703062527574 -0.9626609994429867 0, 101.64052700029227 -0.967247713696727 0, 101.6435838002822 -0.9714427995654571 0)), ((101.66234962521015 -0.9490106245906613 0, 101.66061260025134 -0.9537839329221018 0, 101.65255040018087 -0.9521362995704816 0, 101.64936508363176 -0.9468411661868057 0, 101.65467481845185 -0.942554636114755 0, 101.65911860036319 -0.9452799994123726 0, 101.66234962521015 -0.9490106245906613 0)), ((100.92245330030963 -0.9405841997809237 0, 100.92846494136872 -0.9426375291045606 0, 100.93517855579577 -0.9451881106927171 0, 100.93924064304136 -0.9522477138036987 0, 100.94210533359431 -0.9574757773851292 0, 100.9404053334994 -0.9613038662603532 0, 100.93694909116404 -0.9642390904343809 0, 100.93708555585381 -0.9687898885424193 0, 100.93451911146782 -0.972815166236872 0, 100.92776336403355 -0.9704627269186847 0, 100.92247583354295 -0.9689215829147155 0, 100.91628153873901 -0.9661409225808146 0, 100.91184274315388 -0.9668598281842176 0, 100.90719715421004 -0.967816768813444 0, 100.9017508825855 -0.9642731761250065 0, 100.89959443168482 -0.958336097579858 0, 100.90198578597247 -0.9518079996037141 0, 100.90165833356532 -0.9479314995889485 0, 100.90219625038175 -0.9441213328081997 0, 100.90509718197127 -0.9408880904947612 0, 100.91067641705808 -0.9419854162688299 0, 100.91699014308071 -0.9413787853168696 0, 100.92245330030963 -0.9405841997809237 0)), ((100.78556650018677 -0.910899142459952 0, 100.78156533362328 -0.9137068328789564 0, 100.77722911133449 -0.9112044439299236 0, 100.77349757166994 -0.9086255708276578 0, 100.77041113362702 -0.9052065329750878 0, 100.77298655578504 -0.9005412217499273 0, 100.77835192880566 -0.8986998568271662 0, 100.78482585206483 -0.8938934069551028 0, 100.78770405904807 -0.8993647054226326 0, 100.78759266686815 -0.9050241661572631 0, 100.78556650018677 -0.910899142459952 0)), ((100.83479364308363 -0.8035131423818829 0, 100.84240900024673 -0.80886352337569 0, 100.8497689798954 -0.812967958851095 0, 100.85375535739531 -0.8202687138514673 0, 100.85628590938549 -0.8267219996659012 0, 100.85793400019155 -0.8316006245690719 0, 100.86083662527264 -0.837937812142707 0, 100.86441207170267 -0.8447593566160858 0, 100.86861281276869 -0.8501646870006194 0, 100.8753889233909 -0.8529542303764668 0, 100.88295615404952 -0.8542490764721453 0, 100.88811500025716 -0.8533564163155081 0, 100.89388276489542 -0.8551925289061 0, 100.90085973366988 -0.8564004663084699 0, 100.9082721877301 -0.8557416870916033 0, 100.91452025018455 -0.8572259996550411 0, 100.91723527288508 -0.8639616360070033 0, 100.91232646178152 -0.8678825380948094 0, 100.90584600030847 -0.8694554732598601 0, 100.90481933358546 -0.8743853997263837 0, 100.90721657188737 -0.8781472851118952 0, 100.90860477808812 -0.8826171106910738 0, 100.90808868775534 -0.8883464995599208 0, 100.90496538919139 -0.8944100552298426 0, 100.89932221078833 -0.8976932101681587 0, 100.89465586695476 -0.892508332853291 0, 100.89030066684239 -0.8901621663008772 0, 100.88639066699574 -0.8886652496265288 0, 100.88248440011503 -0.8869407996780918 0, 100.87900254578545 -0.8839653631745978 0, 100.87482900023328 -0.8788998330357831 0, 100.87000238914905 -0.8723703329244312 0, 100.86542236388743 -0.8665410905079316 0, 100.8606570002918 -0.8620241422146666 0, 100.85581269270934 -0.8580799994615571 0, 100.8519812504219 -0.854420624374784 0, 100.84726325014894 -0.8516458328638219 0, 100.84118572762114 -0.8481389088653355 0, 100.8369850002876 -0.8444425994863156 0, 100.834417250181 -0.8419294996965352 0, 100.83118171457882 -0.8389304995071942 0, 100.82699333357554 -0.8350225549468835 0, 100.82279971462087 -0.8325174281510126 0, 100.81883174668558 -0.8321082888562135 0, 100.81472852206026 -0.8303484343978749 0, 100.81151550031515 -0.8267194993054492 0, 100.80721944706673 -0.8251939358067215 0, 100.80457500041102 -0.8229807497867601 0, 100.8011512260225 -0.8221076125536673 0, 100.79581150030054 -0.8189082996283279 0, 100.78918842889581 -0.8166205709968164 0, 100.78267910039027 -0.8151402995251953 0, 100.77713823276422 -0.8134786972259764 0, 100.7705207695256 -0.8097710765046937 0, 100.76428236384005 -0.8080737268845493 0, 100.76081333917627 -0.8110659148007446 0, 100.75669896125062 -0.7623011770677355 0, 100.76043465021402 -0.7518009996613326 0, 100.75716393360874 -0.7487099995268185 0, 100.75975105308464 -0.7366602122296992 0, 100.76428442868347 -0.7415167137110199 0, 100.76783251452184 -0.7441049138677922 0, 100.77109412545606 -0.7474601243102494 0, 100.77664080983986 -0.7508046663308274 0, 100.78050734512416 -0.7540219996086659 0, 100.78233480025085 -0.7593837996425865 0, 100.78451780019637 -0.7627215996021217 0, 100.78850315422805 -0.7670623843292521 0, 100.79188160019575 -0.7714415995501032 0, 100.79474471453274 -0.7756802138778927 0, 100.79848155587914 -0.7802937775357552 0, 100.80225928606586 -0.7830909999211197 0, 100.80609409112398 -0.7858469997664361 0, 100.81060983355206 -0.7896221661799583 0, 100.81588037526667 -0.7934936871464391 0, 100.82273150028358 -0.7966843329655457 0, 100.82941531269165 -0.7993510620705511 0, 100.83479364308363 -0.8035131423818829 0)), ((100.77104199988847 -0.6917396664523832 0, 100.77089553208401 -0.6974152975353629 0, 100.76506537015983 -0.692832862616287 0, 100.76841208855984 -0.6891261710481142 0, 100.77104199988847 -0.6917396664523832 0)), ((100.80616433367594 -0.5750379407776993 0, 100.79982472243303 -0.5775853885547786 0, 100.79337356273362 -0.5772881871125666 0, 100.78786862526188 -0.5810008745032444 0, 100.78288963669289 -0.5833718178459666 0, 100.77601383362163 -0.582971832933664 0, 100.77078476931705 -0.5847398457825879 0, 100.76733903846626 -0.5911693410422512 0, 100.76327033479113 -0.585826272139732 0, 100.76082472741115 -0.581934272484995 0, 100.75735722235801 -0.5779077775218564 0, 100.76335915400188 -0.5486782303928504 0, 100.76836250020429 -0.5448429995297364 0, 100.76967013790473 -0.5389861483627509 0, 100.77886947918537 -0.5361229662048093 0, 100.78427368361893 -0.5407887108750717 0, 100.78746371440752 -0.5445174282795104 0, 100.79123700038728 -0.5479711661863771 0, 100.7944146002737 -0.5526242995816819 0, 100.79751844462058 -0.5589019994276843 0, 100.80060535734432 -0.5645107853586726 0, 100.80364457168257 -0.5695474281997779 0, 100.80616433367594 -0.5750379407776993 0)), ((101.07684010827096 -0.6139065942111319 0, 101.07652477799618 -0.618491555141075 0, 101.07500220019146 -0.6233970996463487 0, 101.06786310034693 -0.6224217995913204 0, 101.05894205900536 -0.6210302348691119 0, 101.05143657924003 -0.6210707890644915 0, 101.04645263662542 -0.6213021813868611 0, 101.04131885031975 -0.62136139947898 0, 101.03574850024317 -0.6212814996164315 0, 101.03026759119007 -0.6231123633312006 0, 101.02546064732046 -0.6218759994306975 0, 101.02030340016188 -0.620765599612648 0, 101.0153078574431 -0.620404713777921 0, 101.01059130796564 -0.6204549227103104 0, 101.00475953869876 -0.6202509995685599 0, 101.00014828582908 -0.6201092853294607 0, 100.9956812003672 -0.6197620995611484 0, 100.9902579233876 -0.6192656150314821 0, 100.985643333673 -0.6186557773421573 0, 100.98096135731652 -0.6173205710446314 0, 100.97654222244567 -0.6171561106658938 0, 100.97207800022099 -0.6181960709489385 0, 100.96700275035174 -0.6193026245289932 0, 100.96332553352656 -0.6211655329828911 0, 100.96189128568297 -0.6246482851045219 0, 100.95821180032443 -0.621601199745557 0, 100.95514025021 -0.6180926245998517 0, 100.9518885145577 -0.6137206283442485 0, 100.95104477809407 -0.6098073328421147 0, 100.94953111793738 -0.6039145290322221 0, 100.94577540031453 -0.5981798994826857 0, 100.94100328585876 -0.5952534282031561 0, 100.93672950026631 -0.5928753326304257 0, 100.93335500045802 -0.5901889995226437 0, 100.93052755570218 -0.5868327774106827 0, 100.92792623114917 -0.5811204611171892 0, 100.92476450023156 -0.5758432496412045 0, 100.92258014314488 -0.572074142479094 0, 100.92004516705087 -0.5656649995650174 0, 100.91742788908593 -0.5596847773305367 0, 100.91457980027758 -0.5553117996797905 0, 100.91160590019228 -0.5509585995696273 0, 100.90769862536628 -0.5462483747001965 0, 100.9046192502283 -0.5427754995146348 0, 100.90186944839574 -0.5388883190569391 0, 101.00576636379033 -0.534274181580928 0, 101.0115694100066 -0.5387111423254307 0, 101.01647285587256 -0.5406793278863606 0, 101.01954250023624 -0.5438904996717273 0, 101.02315725021948 -0.5460709996143773 0, 101.02803900028714 -0.5484546245937292 0, 101.0334578751684 -0.5509526245638927 0, 101.03757675024185 -0.5530599993944438 0, 101.04263160028822 -0.5558510997284092 0, 101.04813775039439 -0.5587392495916763 0, 101.05305472753005 -0.56088127231647 0, 101.05759389121063 -0.5652581633080676 0, 101.05856940033762 -0.5703392995689658 0, 101.06413711791606 -0.5730002935992449 0, 101.06850747391974 -0.5793075259058131 0, 101.07220300026832 -0.5856821661989517 0, 101.07559321440539 -0.5913563567318523 0, 101.07762852961535 -0.5963358232278768 0, 101.07925115414831 -0.6013336918424859 0, 101.08077342735562 -0.6090430589684157 0, 101.07684010827096 -0.6139065942111319 0)))"
